seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	spike_protein_s1	9l6c
seq_1	seq_114	spike_glycoprotein	7zbu
seq_2	seq_2	spike_protein_s1	9l6c
seq_3	seq_3	vp1	8vkx
seq_4	seq_4	envelope_protein	8y3i
seq_5	seq_5	neuraminidase	8z4e
seq_5	seq_37	vp1	8jg5
seq_5	seq_147	hiv-1_clade_a/e_gp120	4rfo
seq_5	seq_152	spike_glycoprotein	7l56
seq_5	seq_190	spike_protein_s1	7e7x
seq_6	seq_6	neuraminidase	8z4e
seq_10	seq_10	neuraminidase	8zr4
seq_11	seq_11	ara_h_2_allergen	8sj6
seq_12	seq_12	hemagglutinin	8ume
seq_15	seq_14	spike_protein_s1	8s6m
seq_15	seq_15	spike_glycoprotein	9au2
seq_16	seq_16	spike_protein_s1	8wpw
seq_17	seq_17	receptor_tyrosine-protein_kinase_erbb-2/higg1_fc_domainfusion_	8vqd
seq_22	seq_22	9mer_peptide,beta-2-microglobulin,mhc_class_i_antigenchimera_	8tnj
seq_23	seq_23	capsid_protein_vp1	8u5l
seq_24	seq_24	reticulocyte-binding_protein-like_protein_5	8qkr
seq_25	seq_25	eryai,6-deoxyerythronolide-b_synthase_erya3,_modules_5_and6_	8tjn
seq_27	seq_27	leukocyte_surface_antigen_cd47	8rp8
seq_29	seq_29	spike_glycoprotein	8jmm
seq_29	seq_88	spike_glycoprotein	7x95
seq_29	seq_171	growth/differentiation_factor_8	6umx
seq_30	seq_30	pfrh5	8q5d
seq_31	seq_31	gn	8wsn
seq_32	seq_32	protein_opg190	8xs3
seq_33	seq_33	spike_glycoprotein	9fgr
seq_35	seq_35	spike_protein_s1	8qrf
seq_36	seq_36	spike_glycoprotein	8xea
seq_38	seq_38	spike_protein_s1	8qzr
seq_39	seq_39	v-type_immunoglobulin_domain-containing_suppressor_of_t-cell_activation_	8tbq
seq_40	seq_40	spike_glycoprotein	8gdr
seq_41	seq_41	tumor_necrosis_factor_receptor_superfamily_member_9	8oz3
seq_43	seq_43	protein-arginine_deiminase_type-4	8smk
seq_44	seq_44	neuraminidase	8gav
seq_46	seq_46	spike_protein_s1	8cbd
seq_48	seq_48	spike_glycoprotein,fibritin	8qq0
seq_50	seq_50	spike_protein_s1	8hrd
seq_51	seq_51	factor_h-binding_protein	8bk2
seq_51	seq_107	envelope_protein	8gpx
seq_52	seq_52	spike_protein_s1	8bg3
seq_54	seq_54	neuraminidase	8ez7
seq_55	seq_55	fp15	8fdo
seq_56	seq_56	hemagglutinin	8tp7
seq_59	seq_59	rsv_fusion_protein	8dzw
seq_61	seq_61	circumsporozoite_protein	8dyw
seq_62	seq_49	spike_glycoprotein	8tma
seq_62	seq_62	circumsporozoite_protein	8dyy
seq_63	seq_63	structurally_designed_hmpv_f_protein_hmpv_v3b_d12_ds454,fibritin_	8f6x
seq_64	seq_64	programmed_cell_death_1_ligand_1	7yds
seq_66	seq_66	anrp2-14	8ivx
seq_67	seq_67	spike_protein_s1	8j1q
seq_68	seq_68	ankyrin_repeat_family_a_protein_2,envelope_e_protein	8cxi
seq_71	seq_71	spike_protein_s1	7vzt
seq_75	seq_75	spike_glycoprotein	7uow
seq_76	seq_76	spike_protein_s1	7wnb
seq_77	seq_18	ch848_de3_sosip_gp120	8vgv
seq_77	seq_77	ch848.10.17_gp120	8sas
seq_77	seq_78	ch848.10.17_gp120	8sau
seq_77	seq_83	ch848.10.17.sosip_gp120	8sb2
seq_77	seq_86	ch848.10.17.sosip_gp120	8sb5
seq_79	seq_79	ch848.10.17_gp120	8say
seq_85	seq_85	ch848.10.17_gp120	8sb4
seq_87	seq_21	spike_glycoprotein	8kdr
seq_87	seq_58	spike_protein_s1	8f0i
seq_87	seq_60	neuraminidase	8e6k
seq_87	seq_69	duffy_binding_protein	8a44
seq_87	seq_87	ciliary_neurotrophic_factor_receptor_subunit_alpha	8d7e
seq_87	seq_125	spike_glycoprotein	7ws1
seq_87	seq_141	spike_protein_s1	7si2
seq_87	seq_168	spike_protein_s1	7e86
seq_89	seq_47	spike_glycoprotein,fibritin	8qpr
seq_89	seq_89	spike_glycoprotein	7x08
seq_89	seq_104	spike_glycoprotein	7x8w
seq_89	seq_118	spike_protein_s1	8dcc
seq_89	seq_131	spike_glycoprotein	7nd7
seq_89	seq_201	sars-cov-2_spike_glycoprotein	6xey
seq_90	seq_19	spike_protein_s1	8wfh
seq_90	seq_90	spike_protein_s1	7ul0
seq_92	seq_91	gametocyte_surface_protein_p230	7ua2
seq_92	seq_92	gametocyte_surface_protein_p230	7ucq
seq_92	seq_97	gametocyte_surface_protein_p230	7uvq
seq_92	seq_121	spike_glycoprotein	7wwl
seq_93	seq_93	gametocyte_surface_protein_p230	7ui1
seq_96	seq_96	gametocyte_surface_protein_p230	7uvo
seq_96	seq_173	reticulocyte_binding_protein_2b	6wm9
seq_96	seq_240	plasmodium_vivax_reticulocyte_binding_protein_2b	6wno
seq_98	seq_98	cadmium_and_zinc_efflux_pump_fief	8f6e
seq_99	seq_99	spike_glycoprotein	8hc2
seq_100	seq_100	envelope_protein_e	8dv6
seq_101	seq_101	surface_glycoprotein	7wch
seq_105	seq_105	spike_glycoprotein	7x91
seq_108	seq_108	spike_protein_s1	7y0c
seq_109	seq_109	spike_protein_s1	7y0v
seq_110	seq_110	spike_protein_s1	7y0w
seq_111	seq_111	fusion_glycoprotein_f0	7tjq
seq_113	seq_113	spike_glycoprotein	7v3l
seq_115	seq_115	spike_glycoprotein	7upl
seq_116	seq_116	nucleoprotein	7sue
seq_119	seq_119	circumsporozoite_protein	7s0x
seq_120	seq_120	neuraminidase	6pzw
seq_122	seq_122	phosphatidylcholine-sterol_acyltransferase	4xx1
seq_123	seq_123	tyrosine-protein_phosphatase_non-receptor_type_substrate_1	6nms
seq_124	seq_124	gp120,_bg505_sosip.664_t332n	7pc2
seq_126	seq_126	envelope_glycoprotein_e	4ut6
seq_127	seq_127	c-c_motif_chemokine_2	4dn4
seq_128	seq_128	surface_glycoprotein	7ps0
seq_130	seq_130	reticulocyte_binding_protein_2b	6wty
seq_132	seq_132	rhodopsin_kinase_grk1	7mtb
seq_133	seq_133	surface_glycoprotein	7ps2
seq_134	seq_134	interleukin-2	6ye3
seq_135	seq_135	major_capsid_protein	6n8d
seq_136	seq_136	triggering_receptor_expressed_on_myeloid_cells_2	6yye
seq_138	seq_138	neuraminidase	6lxj
seq_139	seq_139	myeloid-derived_growth_factor	6svl
seq_140	seq_140	maltose-binding_periplasmic_protein	5bjz
seq_142	seq_142	spike_protein_s1	6xkq
seq_143	seq_9	beta-arrestin-1,soluble_cytochrome_b562	9dng
seq_143	seq_143	chimera_of_soluble_cytochrome_b562_(bril)_and_neuronalacetylcholine_receptor_subunit_alpha-4_	6usf
seq_145	seq_145	proprotein_convertase_subtilisin/kexin_type_9	6u36
seq_146	seq_146	c-x-c_motif_chemokine_13	5cbe
seq_148	seq_148	spike_protein_s1	8dce
seq_148	seq_179	programmed_cell_death_1_ligand_1	5grj
seq_149	seq_149	surface_glycoprotein	7qnw
seq_150	seq_117	spike_protein_s1	7wog
seq_150	seq_150	sars-cov-2_spike_glycoprotein	7jva
seq_151	seq_151	25_kda_ookinete_surface_antigen	6phf
seq_153	seq_153	hemagglutinin	6iut
seq_154	seq_154	spike_glycoprotein	7tcc
seq_155	seq_155	5'-nucleotidase,_ecto_(cd73),_isoform_cra_a	6vca
seq_156	seq_156	surface_glycoprotein	7neg
seq_158	seq_158	spike_glycoprotein	7czp
seq_159	seq_159	sars-cov-2_spike_glycoprotein	7jv4
seq_160	seq_160	fusion_glycoprotein_f1,fibritin	7mmn
seq_160	seq_241	spike_glycoprotein	7czq
seq_161	seq_137	spike_protein_s1	7ejz
seq_161	seq_161	spike_protein_s1	7mzj
seq_161	seq_167	neuraminidase	6u02
seq_163	seq_163	serum_albumin	6m58
seq_164	seq_164	spike_protein_s1	6xkp
seq_165	seq_165	fibroblast_growth_factor_19	6ktr
seq_169	seq_169	spike_protein_s1	7l7e
