seq_rep	seq_member	antigen_member	pdb_member
seq_2	seq_2	transforming_growth_factor_beta-3	8v52
seq_3	seq_3	tumor_necrosis_factor_receptor_superfamily_member_1b,maltose/maltodextrin-binding_periplasmic_protein_	8hlb
seq_3	seq_20	vitamin_k-dependent_protein_c_heavy_chain	6m3c
seq_3	seq_23	interleukin-13	4i77
seq_4	seq_4	guanylyl_cyclase_c	8ghp
seq_5	seq_5	adp-ribosyl_cyclase/cyclic_adp-ribose_hydrolase_1	8il3
seq_5	seq_7	spike_glycoprotein	7mw3
seq_5	seq_9	spike_glycoprotein	7e5s
seq_5	seq_17	gdnf_family_receptor_alpha-like	6wmw
seq_5	seq_24	angiogenin	1h0d
seq_6	seq_6	spike_glycoprotein	7mw6
seq_13	seq_13	programmed_cell_death_protein_1	5ggs
seq_14	seq_14	non-structural_protein_1	7bsc
seq_15	seq_8	interferon_alpha-2	4z5r
seq_15	seq_15	cd40_ligand	1i9r
seq_18	seq_1	isoform_1_of_cell_surface_glycoprotein_cd200_receptor_1	9gwt
seq_18	seq_10	de_novo_design_4e1h_95	6ywc
seq_18	seq_11	ige_fc	7shy
seq_18	seq_12	ige_fc	7si0
seq_18	seq_16	immunoglobulin_heavy_constant_epsilon	7shu
seq_18	seq_18	immunoglobulin_heavy_constant_epsilon	6eyo
seq_18	seq_22	b-lymphocyte_antigen_cd19	6al5
seq_19	seq_19	ige_fc	7shz
seq_21	seq_21	25_kda_ookinete_surface_antigen	6phc
