seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	hemagglutinin	8veb
seq_2	seq_2	hemagglutinin	8vef
seq_2	seq_7	non-structural_protein_1	8jqm
seq_2	seq_13	spike_glycoprotein	8zho
seq_2	seq_54	influenza_a_virus	5xku
seq_2	seq_82	interleukin-2	5utz
seq_3	seq_3	h1h5_ha	9mer
seq_4	seq_4	protein-glutamine_gamma-glutamyltransferase_e	8rmx
seq_6	seq_6	aquaporin-4	8v9d
seq_8	seq_8	envelope_glycoprotein_e	8v5q
seq_8	seq_37	e2_glycoprotein	8dwx
seq_10	seq_10	hemagglutinin	9bdf
seq_12	seq_12	spike_glycoprotein	8y4c
seq_14	seq_14	spike_protein_s2	8vcr
seq_15	seq_15	gp38	8vww
seq_15	seq_42	interleukin-9	7ox1
seq_16	seq_16	envelopment_polyprotein	8zgu
seq_19	seq_19	tumor_necrosis_factor_receptor_superfamily_member_5	8yx1
seq_20	seq_20	neuraminidase	8u1q
seq_21	seq_21	neuraminidase	8u1s
seq_22	seq_5	mhc_class_i_antigen	8t6m
seq_22	seq_22	spike_glycoprotein	8vye
seq_27	seq_27	spike_glycoprotein	8tma
seq_28	seq_28	spike_glycoprotein	7ycy
seq_30	seq_30	hemagglutinin	8tp7
seq_30	seq_36	spike_protein_s1	8eoo
seq_31	seq_31	hemagglutinin	8tp9
seq_32	seq_32	neuraminidase	8e6j
seq_33	seq_33	neuraminidase	8e6k
seq_34	seq_34	spike_glycoprotein	7yve
seq_35	seq_35	spike_glycoprotein	7yvk
seq_38	seq_26	spike_protein_s2'	8hp9
seq_38	seq_38	spike_protein_s1	7xsa
seq_38	seq_40	reverse_transcriptase_p51	6vug
seq_38	seq_59	spike_glycoprotein	7d0d
seq_38	seq_72	spike_glycoprotein	7cm4
seq_38	seq_91	spike_glycoprotein	7lss
seq_39	seq_39	spike_glycoprotein	8bbo
seq_43	seq_43	core_protein	7t17
seq_44	seq_44	spike_glycoprotein	8erq
seq_45	seq_45	spike_protein_s1	7wrj
seq_46	seq_46	spike_protein_s1	7y0v
seq_47	seq_41	gametocyte_surface_protein_p45/48	7uxl
seq_47	seq_47	gametocyte_surface_protein_p45/48	7unb
seq_50	seq_50	surface_glycoprotein	7ps0
seq_51	seq_51	glycoprotein_c	7l7r
seq_55	seq_55	hepatitis_a_virus_cellular_receptor_2	7kql
seq_56	seq_56	surface_glycoprotein	7qnw
seq_57	seq_57	spike_protein_s1	7kn4
seq_63	seq_63	hemagglutinin	6e4x
seq_64	seq_64	gna2132	5o1r
seq_65	seq_65	spike_glycoprotein	7wee
seq_66	seq_66	spike_protein_s1	7mmo
seq_67	seq_67	fusion_glycoprotein_f0	6oe4
seq_68	seq_11	interleukin-6	8ywq
seq_68	seq_18	envelope_glycoprotein_b	8rgz
seq_68	seq_48	fusion_glycoprotein_f0	8cw9
seq_68	seq_52	de_novo_design_4e1h_95	6ywc
seq_68	seq_68	hemagglutinin	6urm
seq_68	seq_81	de_novo_designed_protein_4h_01	6ywd
seq_68	seq_96	interleukin-1_beta	4g6m
seq_69	seq_69	envelope_protein	7bq5
seq_70	seq_70	pre-glycoprotein_polyprotein_gp_complex	5w1k
seq_73	seq_73	surface_glycoprotein	7pry
seq_74	seq_29	hemagglutinin	8tp6
seq_74	seq_61	epidermal_growth_factor_receptor	3b2u
seq_74	seq_74	epidermal_growth_factor_receptor	5sx4
seq_75	seq_17	gp38	8vvk
seq_75	seq_25	spike_protein_s1	8cbd
seq_75	seq_75	spike_glycoprotein	7ttx
seq_75	seq_77	spike_glycoprotein	7n5h
seq_76	seq_76	glycoprotein,glycoprotein	6tou
seq_78	seq_78	spike_protein_s1	7q0h
seq_79	seq_79	hepatocyte_growth_factor_receptor	6i04
seq_80	seq_80	imv_membrane_protein	5ush
seq_85	seq_85	duffy_binding_surface_protein_region_ii	6oan
seq_87	seq_87	ig_gamma-1_chain_c_region	2j6e
seq_88	seq_24	spike_glycoprotein,fibritin	8r1c
seq_88	seq_88	spike_glycoprotein	7czw
seq_89	seq_23	spike_glycoprotein	8gdr
seq_89	seq_89	interleukin-13	3l5x
seq_89	seq_101	interleukin-13	4ps4
seq_90	seq_90	pollen_allergen_phl_p_2	2vxq
seq_92	seq_92	hemagglutinin	6uig
seq_93	seq_49	spike_glycoprotein	7bel
seq_93	seq_93	uncharacterized_leukocidin-like_protein_1	5k59
seq_94	seq_94	rna_polymerase_sigma_factor	3lev
seq_95	seq_95	envelope_protein_ul128	7m30
seq_97	seq_9	outer_surface_protein_c	9bif
seq_97	seq_60	epidermal_growth_factor_receptor	5xwd
seq_97	seq_62	spike_protein_s1	7rbu
seq_97	seq_71	envelope_glycoprotein_gp1	5uqy
seq_97	seq_83	neuraminidase	6pze
seq_97	seq_84	surface_glycoprotein	7ps7
seq_97	seq_86	iron-regulated_surface_determinant_protein_b	5d1z
seq_97	seq_97	activin_receptor_type-2b	7oly
seq_97	seq_99	duffy_receptor	6r2s
seq_98	seq_98	spike_protein_s1	7t01
seq_100	seq_53	hiv-1_clade_a/e_gp120	4rfo
seq_100	seq_58	phosphatidylcholine-sterol_acyltransferase	5bv7
seq_100	seq_100	vp2_of_b19_parvovirus	6nn3
