seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	spike_protein_s1	9l6c
seq_1	seq_2	spike_protein_s1	9l6c
seq_1	seq_4	spike_glycoprotein	9bj3
seq_1	seq_11	envelope_glycoprotein_e2	8tzy
seq_1	seq_13	spike_protein_s1	8qh0
seq_1	seq_16	spike_glycoprotein,fibritin	9fgt
seq_1	seq_17	spike_protein_s1	8qrf
seq_1	seq_21	envelope_glycoprotein_e2	8w0w
seq_1	seq_24	spike_protein_s1	8k5g
seq_1	seq_25	factor_h-binding_protein	8bk2
seq_1	seq_29	spike_protein_s1	8bec
seq_1	seq_32	spike_protein_s1	8gsb
seq_1	seq_39	ciliary_neurotrophic_factor_receptor_subunit_alpha	8d7e
seq_1	seq_40	spike_glycoprotein	7xdl
seq_1	seq_41	spike_protein_s1	7s5q
seq_1	seq_42	spike_glycoprotein	7ru4
seq_1	seq_43	spike_protein_s1	7s5r
seq_1	seq_44	spike_protein_s1	7ul1
seq_1	seq_47	spike_glycoprotein	7x25
seq_1	seq_50	core_protein	7wur
seq_1	seq_51	outer_surface_protein_a	7t25
seq_1	seq_56	mhc_class_i_chain-related_protein_a	7s7i
seq_1	seq_58	spike_glycoprotein	8dad
seq_1	seq_59	spike_glycoprotein	8dlw
seq_1	seq_60	spike_glycoprotein	8dzh
seq_1	seq_61	spike_glycoprotein	7zbu
seq_1	seq_62	nucleoprotein	7str
seq_1	seq_66	spike_protein_s1	7jmo
seq_1	seq_67	spike_protein_s1	7orb
seq_1	seq_68	interferon_alpha-2	4ypg
seq_1	seq_69	major_pollen_allergen_bet_v_1-a	7mxl
seq_1	seq_70	circumsporozoite_protein	6o2b
seq_1	seq_73	immunoglobulin_gamma-1_heavy_chain	5xmh
seq_1	seq_74	interleukin-17a	6wir
seq_1	seq_78	v-type_immunoglobulin_domain-containing_suppressor_of_t-cell_activation_	6mvl
seq_1	seq_80	4e10_epitope_scaffold_t117	4m8q
seq_1	seq_81	immunoglobulin_g-binding_protein_g_(domain_iii)	6o41
seq_1	seq_82	hepatitis_a_virus_cellular_receptor_2	7kql
seq_1	seq_83	spike_protein_s1	7x7o
seq_1	seq_85	spike_glycoprotein	7tcc
seq_1	seq_86	spike_glycoprotein	7ls9
seq_1	seq_95	pre-glycoprotein_polyprotein_gp_complex	5w1k
seq_1	seq_96	spike_glycoprotein	7beo
seq_1	seq_98	beta-klotho	5wi9
