seq_rep	seq_member	antigen_member	pdb_member
seq_5	seq_5	spike_glycoprotein,fibritin,spike_glycoprotein,fibritin,spike_glycoprotein,fibritin,expression_tag_	8z6r
seq_11	seq_11	ch848_de3_sosip_gp120	8vgv
seq_14	seq_14	spike_glycoprotein	8y4c
seq_16	seq_16	programmed_cell_death_1_ligand_1	8rpb
seq_23	seq_23	neuraminidase	8gav
seq_26	seq_26	spike_glycoprotein,fibritin	8qq0
seq_29	seq_29	spike_protein_s1	8bg3
seq_33	seq_33	rsv_fusion_protein	8dzw
seq_36	seq_36	spike_protein_s1	8el2
seq_38	seq_7	hiv-1_bg505_ds-sosip_glycoprotein_gp120	9aug
seq_38	seq_8	hiv-1_bg505_ds-sosip_glycoprotein_gp120	9auh
seq_38	seq_9	spike_protein_s1	8s6m
seq_38	seq_10	spike_glycoprotein	9au2
seq_38	seq_12	spike_protein_s1	8wfh
seq_38	seq_21	spike_glycoprotein,fibritin	8r1c
seq_38	seq_24	spike_glycoprotein	8cin
seq_38	seq_28	spike_glycoprotein	7ycy
seq_38	seq_38	spike_glycoprotein	7yvk
seq_38	seq_49	ch848.10.17_gp120	8say
seq_38	seq_58	spike_protein_s1	7ul0
seq_38	seq_81	activin_receptor_type-2a	5nh3
seq_38	seq_85	c-x-c_motif_chemokine_13	5cbe
seq_38	seq_89	clade_a/e_93th057_hiv-1_gp120_core	5w4l
seq_38	seq_102	spike_protein_s1	7jmp
seq_38	seq_111	c-x-c_motif_chemokine_13	5cba
seq_38	seq_112	surface_glycoprotein	7z0x
seq_38	seq_122	spike_protein_s1	7e7x
seq_38	seq_124	spike_protein_s1	7e7y
seq_38	seq_132	spike_glycoprotein	7lss
seq_38	seq_142	spike_glycoprotein	7k8x
seq_38	seq_144	erythropoietin_receptor	4y5y
seq_38	seq_148	spike_protein_s1	7ps6
seq_38	seq_149	spike_protein_s1	7m42
seq_41	seq_41	ankyrin_repeat_family_a_protein_2,envelope_e_protein	8cxi
seq_43	seq_43	e2_glycoprotein	8dwy
seq_46	seq_2	vp1	8vkx
seq_46	seq_46	spike_protein_s1	7xsa
seq_46	seq_82	neuraminidase	6lxj
seq_46	seq_91	hemagglutinin	6iut
seq_56	seq_47	ch848.10.17_gp120	8sas
seq_56	seq_48	ch848.10.17_gp120	8sau
seq_56	seq_50	envelope_glycoprotein_gp160	8saz
seq_56	seq_51	ch848.10.17.sosip_gp120	8sb0
seq_56	seq_52	ch848.10.17_gp120	8sb1
seq_56	seq_53	ch848.10.17.sosip_gp120	8sb2
seq_56	seq_54	ch848.10.17_gp120	8sb3
seq_56	seq_55	ch848.10.17_gp120	8sb4
seq_56	seq_56	ch848.10.17.sosip_gp120	8sb5
seq_56	seq_78	envelope_glycoprotein_gp120	6um7
seq_60	seq_60	gametocyte_surface_protein_p230	7uvo
seq_62	seq_1	spike_glycoprotein	8vpf
seq_62	seq_3	envelope_protein	8y3i
seq_62	seq_4	neuraminidase	8z4e
seq_62	seq_6	spike_glycoprotein,fibritin,expression_tag	8z6u
seq_62	seq_13	zinc_metalloproteinase-disintegrin-like_ecarin	9clp
seq_62	seq_17	spike_protein_s1	8suo
seq_62	seq_18	spike_protein_s1	8qrf
seq_62	seq_19	vp1	8jg5
seq_62	seq_20	spike_glycoprotein	8gdr
seq_62	seq_25	spike_glycoprotein,fibritin	8qpr
seq_62	seq_30	spike_protein_s1	8hes
seq_62	seq_31	hemagglutinin	8tp7
seq_62	seq_32	spike_protein_s1	8gpy
seq_62	seq_37	spike_glycoprotein	7yvi
seq_62	seq_39	bg505-sosip.v4.1-gt1.2gp120	8e1p
seq_62	seq_40	spike_protein_s1	8j1q
seq_62	seq_42	mesothelin,_cleaved_form	8cz8
seq_62	seq_62	envelope_protein_e	8dv6
seq_62	seq_64	spike_glycoprotein	7x8w
seq_62	seq_66	envelope_glycoprotein_gp120	7ugq
seq_62	seq_69	nucleoprotein	7sue
seq_62	seq_71	spike_protein_s1	8dcc
seq_62	seq_73	spike_glycoprotein	6xcn
seq_62	seq_74	neuraminidase	6pzw
seq_62	seq_80	spike_glycoprotein	7nd7
seq_62	seq_84	phosphate-binding_protein_psts_1	7dm1
seq_62	seq_86	spike_glycoprotein	7k8w
seq_62	seq_87	hiv-1_clade_a/e_gp120	4rfo
seq_62	seq_88	spike_protein_s1	8dce
seq_62	seq_90	spike_glycoprotein	7l56
seq_62	seq_95	spike_glycoprotein	7czp
seq_62	seq_103	spike_protein_s1	6xkp
seq_62	seq_104	fibroblast_growth_factor_19	6ktr
seq_62	seq_106	spike_glycoprotein	7lcn
seq_62	seq_109	spike_glycoprotein	7l2c
seq_62	seq_113	erythropoietin_receptor	4y5v
seq_62	seq_114	programmed_cell_death_1_ligand_1	5grj
seq_62	seq_116	spike_protein_s1	7l5b
seq_62	seq_117	hepatitis_a_virus_cellular_receptor_2	6txz
seq_62	seq_119	1fd6-v1v2_scaffold_zm109_hiv-1_strain	4dqo
seq_62	seq_123	spike_protein_s1	7fcp
seq_62	seq_126	receptor_tyrosine-protein_kinase_erbb-2	3wlw
seq_62	seq_128	sars-cov-2_spike_glycoprotein	6xey
seq_62	seq_129	spike_glycoprotein	7czw
seq_62	seq_130	spike_protein_s1	7wph
seq_62	seq_136	spike_glycoprotein	7l2d
seq_62	seq_137	spike_glycoprotein	7r8n
seq_62	seq_141	rsv_fusion_glycoprotein	6dc3
seq_62	seq_147	spike_protein_s1	7mf1
seq_63	seq_63	interleukin-9	7ox1
seq_65	seq_65	spike_glycoprotein	7wos
seq_72	seq_72	hemagglutinin_ha1	5w08
seq_75	seq_75	envelope_glycoprotein_e	4ut6
seq_77	seq_67	spike_glycoprotein	8erq
seq_77	seq_77	surface_glycoprotein	7ps0
seq_77	seq_97	spike_protein_s1	7mmo
