seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	hemagglutinin	8veb
seq_1	seq_551	spike_glycoprotein	7k9z
seq_2	seq_2	hemagglutinin	8vef
seq_2	seq_42	hemagglutinin	9bdf
seq_2	seq_93	spike_glycoprotein	8hlc
seq_2	seq_124	envelope_glycoprotein_e2	8w0y
seq_2	seq_332	glucagon_receptor	4ers
seq_2	seq_465	genome_polyprotein	5gzo
seq_2	seq_597	type_iii_secretion_system_protein	6cyf
seq_2	seq_606	coagulation_factor_xi	6aod
seq_2	seq_608	spike_glycoprotein	4xak
seq_2	seq_693	spike_glycoprotein	7dzx
seq_3	seq_3	neuraminidase	9dpc
seq_3	seq_255	interleukin-17a	7z2m
seq_3	seq_326	tyrosine-protein_phosphatase_non-receptor_type_substrate_1	6nms
seq_3	seq_425	tumor_necrosis_factor	5yoy
seq_3	seq_676	spike_protein_s1	7t01
seq_4	seq_4	spike_protein_s1	9l6c
seq_4	seq_320	integrin_alpha-l	3hi6
seq_4	seq_708	spike_protein_s1	7mzl
seq_5	seq_5	h1h5_ha	9mer
seq_6	seq_6	gametocyte_surface_protein_p45/48	8u1p
seq_7	seq_7	gametocyte_surface_protein_p45/48	8u1p
seq_9	seq_9	hemagglutinin_ha1_chain	9azt
seq_14	seq_14	neuraminidase	8z4e
seq_14	seq_151	ba.4/5_variant_spike_protein	8ix3
seq_14	seq_155	fp15	8fdo
seq_15	seq_15	5'-nucleotidase	8znz
seq_21	seq_21	receptor_tyrosine-protein_kinase_erbb-2	9l1s
seq_21	seq_136	receptor_tyrosine-protein_kinase_erbb-2	8pwh
seq_22	seq_22	mhc_class_i_antigen	8t6m
seq_22	seq_41	spike_glycoprotein	8wyj
seq_22	seq_67	spike_glycoprotein	8yww
seq_22	seq_68	spike_protein_s2'	8ywx
seq_22	seq_92	spike_glycoprotein	8yz5
seq_22	seq_97	reticulocyte-binding_protein_homolog_5	8pww
seq_22	seq_112	hemagglutinin-neuraminidase	8tqi
seq_22	seq_116	spike_protein_s1	8f2x
seq_22	seq_127	v-type_immunoglobulin_domain-containing_suppressor_of_t-cell_activation_	8tbq
seq_22	seq_176	tumor_necrosis_factor_receptor_superfamily_member_4	7yk4
seq_22	seq_191	sialic_acid-binding_ig-like_lectin_15	7zoz
seq_22	seq_192	spike_protein_s1	8e1g
