seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	stem_mimetic_01	8uzp
seq_1	seq_83	envelope_glycoprotein_e2	8thz
seq_1	seq_518	iron-regulated_surface_determinant_protein_b	5d1q
seq_1	seq_879	hemagglutinin_ha1	4hfu
seq_2	seq_2	spike_glycoprotein	8vpf
seq_3	seq_3	neuraminidase	9dpc
seq_4	seq_4	spike_protein_s1	9l6c
seq_4	seq_90	spike_protein_s1	8xsf
seq_4	seq_160	spike_protein_s1	8f2j
seq_4	seq_174	spike_glycoprotein	7ukm
seq_4	seq_180	spike_protein_s1	8f0i
seq_4	seq_219	spike_protein_s1	8eoo
seq_4	seq_237	spike_protein_s1	8cwi
seq_4	seq_405	phosphatidylcholine-sterol_acyltransferase	4xx1
seq_4	seq_486	cytotoxic_t-lymphocyte_protein_4	5ggv
seq_4	seq_537	5'-nucleotidase,_ecto_(cd73),_isoform_cra_a	6vca
seq_4	seq_598	spike_glycoprotein	7lxw
seq_4	seq_625	spike_protein_s1	7q0i
seq_4	seq_638	circumsporozoite_protein	6o25
seq_4	seq_666	spike_protein_s1	7ly3
seq_4	seq_765	spike_protein_s1	7e39
seq_4	seq_772	fusion_glycoprotein_f0	7ur4
seq_4	seq_798	spike_protein_s1	7deo
seq_4	seq_839	thymic_stromal_lymphopoietin	5j13
seq_5	seq_5	gametocyte_surface_protein_p45/48	8u1p
seq_10	seq_10	apical_membrane_antigen_1	9bjg
seq_11	seq_11	spike_glycoprotein	9cci
seq_12	seq_12	spike_glycoprotein	9bj2
seq_15	seq_15	major_allergen_can_f_1	8vqf
seq_16	seq_16	envelope_protein	8y3h
seq_22	seq_22	5'-nucleotidase	8znz
seq_23	seq_9	hemagglutinin_ha1_chain	9azt
seq_23	seq_23	5'-nucleotidase	8znz
seq_27	seq_27	histone_chaperone_asf1	9avo
seq_27	seq_585	tudor_and_kh_domain-containing_protein	6pi7
seq_29	seq_29	cytotoxic_t-lymphocyte_protein_4	9dq3
seq_30	seq_30	cytotoxic_t-lymphocyte_protein_4	9dq5
seq_30	seq_686	envelope_glycoprotein_gp160	5vn8
seq_31	seq_31	adp-ribosyl_cyclase/cyclic_adp-ribose_hydrolase_1	9gox
seq_32	seq_32	neuraminidase	8zr4
seq_33	seq_6	gametocyte_surface_protein_p45/48	8u1p
seq_33	seq_8	hemagglutinin_ha1_chain	9azr
seq_33	seq_26	hiv-1_bg505_ds-sosip_glycoprotein_gp120	9auh
seq_33	seq_33	receptor_tyrosine-protein_kinase_erbb-2	9l1s
seq_33	seq_61	envelope_glycoprotein_b	8vym
seq_33	seq_64	zinc_metalloproteinase-disintegrin-like_ecarin	9clp
seq_33	seq_79	reticulocyte-binding_protein-like_protein_5	8qkr
seq_33	seq_147	receptor_tyrosine-protein_kinase_erbb-2	8pwh
seq_33	seq_153	spike_glycoprotein,fibritin	8qq0
seq_33	seq_217	bg505-sosip.v4.1-gt1.2gp120	8e1p
seq_33	seq_388	426c_ds-sosip_d3	6myy
seq_33	seq_400	spike_protein_s1	7te1
seq_33	seq_448	spike_glycoprotein	7nd7
seq_33	seq_482	butyrophilin_subfamily_3_member_a1	6xlq
seq_33	seq_517	spike_glycoprotein	7l56
seq_33	seq_529	adiponectin_receptor_protein_2	6yxd
seq_33	seq_582	spike_protein_s1	7mzh
seq_33	seq_656	pfs25	6b08
seq_33	seq_671	426c.tm4deltav1-3_gp120	5fec
seq_33	seq_734	sars-cov-2_spike_glycoprotein	6xey
seq_33	seq_766	spike_protein_s1	7lop
seq_33	seq_779	germline-targeting_hiv-1_gp120_engineered_outer_domain_eod-gt8_	5if0
seq_33	seq_803	reticulocyte-binding_protein_homolog_5	7phu
seq_33	seq_900	receptor_tyrosine-protein_kinase_erbb-3	5o4o
seq_33	seq_902	spike_protein_s1	7m42
seq_34	seq_34	conglutin	8si1
seq_35	seq_35	conglutin	8sj4
seq_36	seq_36	ara_h_2_allergen	8sj6
seq_37	seq_37	conglutin	8sja
