seq_rep	seq_member	antigen_member	pdb_member
seq_5	seq_5	hemagglutinin-neuraminidase	9b2w
seq_13	seq_13	hemagglutinin	8toa
seq_18	seq_18	t-cell_immunoreceptor_with_ig_and_itim_domains	8szy
seq_19	seq_1	hemagglutinin	8ved
seq_19	seq_2	spike_glycoprotein	9aru
seq_19	seq_11	spike_glycoprotein	8swh
seq_19	seq_14	tumor_necrosis_factor_receptor_superfamily_member_5	8yx9
seq_19	seq_15	c-x-c_chemokine_receptor_type_4	8u4q
seq_19	seq_19	spike_protein_s1	8eoo
seq_19	seq_22	spike_glycoprotein	8dm3
seq_19	seq_27	fusion_glycoprotein_f0	7luc
seq_19	seq_29	envelope_glycoprotein_e2	6wo5
seq_19	seq_32	hemagglutinin	5k9o
seq_19	seq_39	interleukin-17a	7wkx
seq_19	seq_44	25_kda_ookinete_surface_antigen	6b0g
seq_19	seq_46	iron-regulated_surface_determinant_protein_b	5d1x
seq_19	seq_51	25_kda_ookinete_surface_antigen	6b0e
seq_19	seq_53	ecd	6o9i
seq_25	seq_25	glycoprotein_41	6cde
seq_26	seq_26	fusion_glycoprotein_f0	7lue
seq_30	seq_30	human_t-cell_receptor_beta_chain_trbc2	7amr
seq_30	seq_34	human_a6_t-cell_receptor_beta_chain_trbc1	7amq
seq_33	seq_4	neuraminidase	8zr4
seq_33	seq_6	hemagglutinin	8us0
seq_33	seq_7	eryai,6-deoxyerythronolide-b_synthase_erya3,_modules_5_and6_	8tjn
seq_33	seq_9	reticulocyte-binding_protein_homolog_5	8pwv
seq_33	seq_12	hemagglutinin	8tnl
seq_33	seq_16	spike_protein_s1	8bg1
seq_33	seq_17	spike_glycoprotein	7ukm
seq_33	seq_20	spike_glycoprotein	7e9o
seq_33	seq_24	envelope_glycoprotein_h	7t4r
seq_33	seq_28	spike_glycoprotein	7chh
seq_33	seq_31	368-2_h	7e8c
seq_33	seq_33	spike_glycoprotein	7pnm
seq_33	seq_42	mucosal_addressin_cell_adhesion_molecule_1	4hcr
seq_33	seq_43	toxin_b	7so5
seq_33	seq_45	hemagglutinin	6iuv
seq_33	seq_47	spike_protein_s1	7deo
seq_33	seq_48	vp1	7jie
seq_33	seq_49	circumsporozoite_protein	7rxp
seq_33	seq_52	6-deoxyerythronolide-b_synthase_erya3,_modules_5_and_6	6mlk
seq_33	seq_54	clade_a/e_93th057_hiv-1_gp120_core	6oej
seq_33	seq_59	spike_protein	6c6z
seq_35	seq_35	glycoprotein_gp41	6cdi
seq_35	seq_36	leukocyte_surface_antigen_cd47	5iwl
seq_37	seq_37	leukocyte_surface_antigen_cd47	5tzt
seq_38	seq_38	epithelial_cell_adhesion_molecule	6i07
seq_40	seq_40	gdnf_family_receptor_alpha-like	6wmw
seq_41	seq_41	hemagglutinin	5a3i
seq_50	seq_50	interleukin-4_receptor_subunit_alpha	6wgl
seq_55	seq_55	1fd6-v1v2-wito	5vgj
seq_56	seq_3	cytotoxic_t-lymphocyte_protein_4	9dq5
seq_56	seq_8	envelope_glycoprotein_b	8rgz
seq_56	seq_23	hla-a*02	8eb2
seq_56	seq_56	epidermal_growth_factor_receptor	4uv7
seq_57	seq_21	spike_protein_s1	7wsc
seq_57	seq_57	tissue_factor_pathway_inhibitor	4dtg
seq_58	seq_10	protein_opg190	8xs3
seq_58	seq_58	leukemia_inhibitory_factor	7n0a
seq_60	seq_60	er_membrane_protein_complex_subunit_1	7kra
