seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	stem_mimetic_01	8uzp
seq_1	seq_120	envelopment_polyprotein	8zgu
seq_1	seq_150	spike_glycoprotein	8jmm
seq_1	seq_252	neuraminidase	8ez8
seq_1	seq_286	envelope_protein_ul128	8tea
seq_1	seq_319	spike_glycoprotein	7yve
seq_1	seq_364	interleukin-17a	8dy1
seq_1	seq_544	interleukin-17a	2vxs
seq_1	seq_584	duffy_binding_surface_protein_region_ii	6oao
seq_1	seq_599	spike_protein_s1	7mzk
seq_1	seq_623	gastric_inhibitory_polypeptide_receptor	4hj0
seq_1	seq_697	induced_myeloid_leukemia_cell_differentiation_protein_mcl-1homolog,induced_myeloid_leukemia_cell_differentiation_protein_mcl-1_	5mes
seq_1	seq_813	spike_glycoprotein	7uar
seq_1	seq_815	neuraminidase	6pzy
seq_1	seq_859	spike_glycoprotein	7tat
seq_1	seq_1116	surface_glycoprotein	7ps4
seq_1	seq_1177	spike_protein_s1	7e3o
seq_2	seq_2	hemagglutinin	8veb
seq_2	seq_122	spike_glycoprotein	8q5y
seq_2	seq_475	envelope_glycoprotein_h	7s07
seq_2	seq_572	neuraminidase	6v4n
seq_2	seq_1122	chitinase_3-like_1_(cartilage_glycoprotein-39),_isoformcra_a_	7cj2
seq_2	seq_1144	factor_h_binding_protein_variant_1.1	5o14
seq_2	seq_1178	spike_protein_s1	7t01
seq_12	seq_12	gametocyte_surface_protein_p45/48	8u1p
seq_14	seq_14	enterotoxin_type_b	8ykt
seq_16	seq_16	hemagglutinin_ha1_chain	9azt
seq_17	seq_17	apical_membrane_antigen_1	9bjg
seq_17	seq_993	immunoglobulin_heavy_constant_epsilon	6eyo
seq_18	seq_18	apical_membrane_antigen_1	9bjh
seq_19	seq_19	spike_glycoprotein	9cci
seq_20	seq_20	spike_glycoprotein	9bj2
seq_21	seq_21	spike_glycoprotein	9bj3
seq_22	seq_22	short_neurotoxin_1	8v13
seq_23	seq_23	vp1	8vkx
seq_24	seq_24	major_allergen_can_f_1	8vqf
seq_26	seq_26	envelope_protein	8y3h
seq_27	seq_27	envelope_protein	8y3i
seq_34	seq_34	spike_glycoprotein	9aru
seq_39	seq_39	cytotoxic_t-lymphocyte_protein_4	9dq3
seq_39	seq_303	cytotoxic_t-lymphocyte_protein_4	5xj3
seq_39	seq_820	cytotoxic_t-lymphocyte_protein_4	7su0
seq_43	seq_43	neuraminidase	8zr4
seq_46	seq_46	conglutin	8si1
seq_47	seq_47	conglutin	8sj4
seq_49	seq_49	conglutin	8sja
seq_56	seq_56	envelope_glycoprotein_e	8v5q
seq_59	seq_59	gp38	9b8j
seq_60	seq_60	glycoprotein_c	9b8j
seq_65	seq_65	outer_surface_protein_c	9bif
seq_65	seq_156	spike_protein	8r9w
seq_65	seq_157	spike_protein	8r9y
seq_65	seq_225	envelope_glycoprotein_gp160	8sxj
seq_65	seq_304	programmed_cell_death_1_ligand_1	5xj4
seq_65	seq_335	ankyrin_repeat_family_a_protein_2,envelope_e_protein	8cxg
seq_65	seq_346	neuraminidase	8g3m
seq_65	seq_481	envelope_protein	8gpx
seq_65	seq_605	c-c_motif_chemokine_2	4dn4
seq_65	seq_975	spike_glycoprotein	7coe
seq_65	seq_989	spike_glycoprotein	7xic
seq_65	seq_1016	glycoprotein_g2	7s8h
seq_65	seq_1156	thrombin_heavy_chain	5e8e
seq_65	seq_1221	spike_glycoprotein	2ghw
seq_68	seq_68	isoform_vegf121_of_vascular_endothelial_growth_factor_a,long_form_	8uwz
seq_69	seq_69	spike_glycoprotein	8wyj
seq_69	seq_494	spike_protein_s1	7y0w
seq_69	seq_991	spike_protein_s1	7e88
seq_71	seq_71	hemagglutinin	9bdf
seq_72	seq_72	hemagglutinin	9bdg
seq_76	seq_76	angiopoietin-2	8vgp
seq_79	seq_77	spike_protein_s1	8s6m
seq_79	seq_79	spike_glycoprotein	9au2
seq_81	seq_81	spike_protein_s1	8k18
seq_86	seq_86	spike_protein_s1	8wfh
seq_92	seq_92	pcrv	9jbq
seq_92	seq_280	guanylyl_cyclase_c	8ghp
seq_95	seq_95	envelope_glycoprotein_e2	8tzy
seq_97	seq_97	t-cell_immunoglobulin_mucin_receptor_3	8tbb
seq_98	seq_98	t-cell_immunoglobulin_mucin_receptor_3	8tft
seq_98	seq_137	envelope_glycoprotein_b	8rh0
seq_98	seq_365	spike_glycoprotein	8f0h
seq_98	seq_496	amc009_sosipv5.2_envelope_glycoprotein_gp41	7zlk
seq_98	seq_512	amc009_sosip.v5.2_envelope_glycoprotein_gp41	7z3a
seq_98	seq_579	spike_glycoprotein	7f3q
seq_98	seq_736	epidermal_growth_factor_receptor	5xwd
seq_98	seq_741	reticulocyte_binding_protein_2b	6wn1
seq_98	seq_753	hemagglutinin_ha1	5ugy
seq_98	seq_860	spike_protein_s1	7q0i
seq_98	seq_1064	spike_glycoprotein	7ey0
seq_98	seq_1099	lipoprotein_gna1870	6h2y
seq_98	seq_1107	reticulocyte-binding_protein_homolog_5	7phu
seq_99	seq_99	outer_surface_protein_a	8tv3
seq_101	seq_101	outer_surface_protein_a	8tvj
seq_106	seq_106	spike_glycoprotein	8keo
seq_110	seq_110	spike_protein_s1	8sdh
