seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	protein-glutamine_gamma-glutamyltransferase_e	8rmx
seq_1	seq_2	hemagglutinin	8ume
seq_1	seq_3	t-cell-specific_surface_glycoprotein_cd28	8s6z
seq_1	seq_4	spike_protein_s1	8suo
seq_1	seq_5	spike_protein_s2'	8ekd
seq_1	seq_6	gremlin-1	8b7h
seq_1	seq_8	spike_glycoprotein	8cwj
seq_1	seq_9	spike_protein_s1	8dnn
seq_1	seq_10	gametocyte_surface_protein_p230	7ubs
seq_1	seq_11	gametocyte_surface_protein_p230	7uvs
seq_1	seq_12	spike_glycoprotein	8d48
seq_1	seq_13	4f2_cell-surface_antigen_heavy_chain	7df1
seq_1	seq_14	interleukin-27_subunit_alpha	7zxk
seq_1	seq_15	cd9_antigen	6rlo
seq_1	seq_16	spike_protein_s1	7mzk
seq_1	seq_17	spike_glycoprotein	7czx
seq_1	seq_19	surface_glycoprotein	7ps2
seq_1	seq_24	spike_glycoprotein	7d0d
seq_1	seq_26	spike_glycoprotein	7czy
seq_1	seq_28	spike_glycoprotein	7k9z
seq_1	seq_33	germline-targeting_hiv-1_gp120_engineered_outer_domain_eod-gt8_	5if0
seq_1	seq_36	activin_receptor_type-2b	7oly
seq_1	seq_39	spike_protein_s1	7kn3
seq_1	seq_40	interleukin-2_receptor_subunit_alpha	7f9w
seq_7	seq_7	spike_protein_s1	8gf2
seq_18	seq_18	hiv-1_clade_ae_gp120_core	6bf4
seq_21	seq_20	interleukin-2	6ye3
seq_21	seq_21	spike_glycoprotein	7fjo
seq_22	seq_22	receptor_tyrosine-protein_kinase_erbb-2	6att
seq_27	seq_27	c-c_motif_chemokine_17	5wk3
seq_29	seq_29	hemagglutinin	6xq4
seq_30	seq_30	surface_glycoprotein	7prz
seq_31	seq_23	tumor_necrosis_factor_receptor_superfamily_member_5	6pe9
seq_31	seq_25	tumor_necrosis_factor_receptor_superfamily_member_5	6pe8
seq_31	seq_31	ecd	6o9h
seq_31	seq_35	programmed_cell_death_protein_1	6xkr
seq_32	seq_32	capsid_protein_vp1	5kw9
seq_32	seq_37	spike_glycoprotein	7eng
seq_34	seq_34	hemagglutinin	6xpx
seq_38	seq_38	ht593.1_gp120	4ye4
