seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	glutamate_receptor_ionotropic,_nmda_1	8vuj
seq_1	seq_12	isoform_2b_of_gtpase_kras	7mdp
seq_1	seq_13	genome_polyprotein	5gzo
seq_1	seq_21	envelope_glycoprotein_gp160	6dfh
seq_2	seq_2	spike_protein_s1	8x0y
seq_3	seq_3	25_kda_ookinete_surface_antigen	8ezk
seq_4	seq_4	isoform_2b_of_gtpase_kras	7yv1
seq_4	seq_7	spike_protein_s1	8dcc
seq_4	seq_9	ige_fc	7shy
seq_4	seq_10	ige_fc	7si0
seq_4	seq_14	neuraminidase	6pzy
seq_4	seq_15	non-structural_protein_1	7bsc
seq_4	seq_18	ige_fc	7shz
seq_5	seq_5	spike_glycoprotein	7xdl
seq_8	seq_6	gametocyte_surface_protein_p230	7uvq
seq_8	seq_8	hemagglutinin_ha1_chain	4m5z
seq_11	seq_11	pfs25	6b0h
seq_16	seq_16	immunoglobulin_heavy_constant_epsilon	7shu
seq_17	seq_17	envelope_glycoprotein_gp120	7kde
seq_19	seq_19	spike_protein_s1	7wph
seq_20	seq_20	hemagglutinin	4xnm
