seq_rep	seq_member	antigen_member	pdb_member
seq_3	seq_1	hemagglutinin	8veb
seq_3	seq_3	hemagglutinin	8vef
seq_4	seq_4	neuraminidase	9dpc
seq_4	seq_71	spike_protein_s1	8xsf
seq_4	seq_237	gametocyte_surface_protein_p230	7ua8
seq_4	seq_655	chitinase_3-like_1_(cartilage_glycoprotein-39),_isoformcra_a_	7cj2
seq_5	seq_5	h1h5_ha	9mer
seq_6	seq_6	gametocyte_surface_protein_p45/48	8u1p
seq_7	seq_7	apical_membrane_antigen_1	9bjg
seq_8	seq_8	apical_membrane_antigen_1	9bjh
seq_11	seq_11	spike_glycoprotein	8xsd
seq_13	seq_12	spike_glycoprotein,fibritin,spike_glycoprotein,fibritin,spike_glycoprotein,fibritin,expression_tag_	8z6r
seq_13	seq_13	spike_glycoprotein,fibritin,expression_tag	8z6u
seq_15	seq_15	5'-nucleotidase	8znz
seq_15	seq_714	envelope_protein	4al8
seq_21	seq_21	envelopment_polyprotein	8zhq
seq_23	seq_23	mhc_class_i_antigen	8t6m
seq_24	seq_24	conglutin	8sj4
seq_25	seq_25	conglutin	8sja
seq_26	seq_26	t-cell-specific_surface_glycoprotein_cd28	8s6z
seq_28	seq_28	ns1	8jkf
seq_29	seq_29	non-structural_protein_1	8jqm
seq_32	seq_32	gp38	9b8j
seq_33	seq_33	glycoprotein_c	9b8j
seq_34	seq_34	ns1	8jkh
seq_34	seq_117	interleukin-6_receptor_subunit_alpha	8iow
seq_34	seq_182	long_neurotoxin_1	8d9y
seq_34	seq_234	spike_glycoprotein	7xcz
seq_34	seq_596	spike_glycoprotein	7cjf
seq_35	seq_35	nkg2-d_type_ii_integral_membrane_protein	9dh2
seq_39	seq_39	isoform_vegf121_of_vascular_endothelial_growth_factor_a,long_form_	8uwz
seq_40	seq_40	hemagglutinin	9bdf
seq_41	seq_41	hemagglutinin	9bdg
seq_42	seq_42	b-lymphocyte_antigen_cd20	8vgn
seq_43	seq_43	interleukin-6	8ywq
seq_44	seq_44	hemagglutinin	8us0
seq_45	seq_45	angiopoietin-2	8vgp
seq_46	seq_46	isoform_1_of_cell_surface_glycoprotein_cd200_receptor_1	9gwt
seq_47	seq_47	spike_protein_s1	8k18
seq_48	seq_38	disintegrin_and_metalloproteinase_domain-containing_protein17_	9e6k
seq_48	seq_48	envelope_glycoprotein_e	8v5l
seq_49	seq_49	envelope_glycoprotein_e	8v5s
seq_49	seq_452	hemagglutinin	4yk4
seq_50	seq_50	glutamate_receptor_ionotropic,_nmda_1	8vuj
seq_51	seq_51	pcrv	9jbq
seq_54	seq_54	t-cell_immunoglobulin_mucin_receptor_3	8tbb
seq_56	seq_56	outer_surface_protein_a	8tvj
seq_59	seq_59	spike_glycoprotein	8keo
seq_59	seq_681	spike_protein_s1	7rr0
seq_60	seq_60	9mer_peptide,beta-2-microglobulin,mhc_class_i_antigenchimera_	8tnj
seq_61	seq_61	spike_protein_s2	8vcr
seq_61	seq_307	major_pollen_allergen_bet_v_1-a	7mxl
seq_64	seq_64	envelope_glycoprotein_e2	8tgv
seq_65	seq_65	envelope_glycoprotein_e2	8thz
seq_67	seq_67	spike_glycoprotein	8q5y
seq_68	seq_68	rh5-34em	8rz0
seq_69	seq_69	spike_protein_s1	8xse
seq_69	seq_173	isoform_2b_of_gtpase_kras	7yv1
seq_69	seq_433	spike_protein_s1	7rbu
seq_73	seq_73	erythropoietin_receptor	8vui
seq_76	seq_76	envelope_glycoprotein_b	8rgz
seq_77	seq_77	envelope_glycoprotein_b	8rh0
seq_79	seq_53	interleukin-2	8soz
seq_79	seq_79	asialoglycoprotein_receptor_1	8ts0
seq_79	seq_321	toll-like_receptor_3	3ulu
seq_79	seq_614	lysozyme	1bvk
seq_79	seq_659	cytotoxic_t-lymphocyte_protein_4	6xy2
seq_82	seq_82	spike_glycoprotein	8xbf
seq_84	seq_84	spike_glycoprotein	8yz5
seq_87	seq_87	reticulocyte-binding_protein_homolog_5	8pwu
seq_88	seq_88	reticulocyte-binding_protein_homolog_5	8pww
seq_90	seq_90	spike_protein	8r9y
seq_92	seq_92	glycoprotein_c	8wsu
seq_95	seq_95	spike_glycoprotein	8jio
seq_96	seq_96	spike_glycoprotein	8swh
seq_96	seq_252	spike_glycoprotein	8dm3
seq_97	seq_97	spike_protein_s1	8suo
seq_98	seq_98	hemagglutinin	8tnl
seq_98	seq_224	spike_glycoprotein	7e9o
seq_98	seq_666	circumsporozoite_protein	7rxp
seq_98	seq_668	interleukin-4_receptor_subunit_alpha	6wgl
seq_99	seq_99	hemagglutinin	8toa
seq_100	seq_100	spike_glycoprotein	8r8k
seq_101	seq_101	tumor_necrosis_factor_receptor_superfamily_member_5	8yx9
seq_102	seq_102	envelope_glycoprotein_gp350	8sm1
seq_102	seq_612	spike_glycoprotein,fibritin	7zr9
seq_103	seq_30	butyrophilin_subfamily_2_member_a1	8vc7
seq_103	seq_31	nora-bril(3a)_fusion	9b3k
seq_103	seq_103	hyaluronan_synthase_1	8smm
seq_103	seq_154	solute_carrier_organic_anion_transporter_family_member_1b3	8pg0
seq_103	seq_383	two_pore_calcium_channel_protein_1	6e1k
seq_103	seq_524	e3_sumo-protein_ligase_ranbp2	7mnl
seq_103	seq_566	nucleoprotein	5vkd
seq_104	seq_104	interleukin-17f	8ruu
seq_106	seq_106	fusion_glycoprotein_f0	8tqk
seq_108	seq_108	transforming_growth_factor_beta-3	8v52
seq_109	seq_109	neuraminidase	8u1c
seq_110	seq_110	neuraminidase	8u1q
seq_111	seq_111	neuraminidase	8u1s
seq_112	seq_112	spike_glycoprotein	8vye
seq_113	seq_113	envelope_glycoprotein_e2	8w0v
seq_114	seq_114	envelope_glycoprotein_e2	8w0w
seq_116	seq_116	envelope_glycoprotein_e2	8w0y
seq_119	seq_119	spike_glycoprotein,fibritin	8r1d
seq_119	seq_295	spike_glycoprotein	7v23
seq_120	seq_120	spike_protein_s1	8sis
seq_122	seq_122	vasodilator-stimulated_phosphoprotein,_neuraminidasechimera_	8gau
seq_124	seq_124	receptor_tyrosine-protein_kinase_erbb-2	8pwh
seq_124	seq_711	receptor_tyrosine-protein_kinase_erbb-2	6bgt
seq_125	seq_22	receptor_tyrosine-protein_kinase_erbb-2	9l1s
seq_125	seq_125	receptor_tyrosine-protein_kinase_erbb-2	8pwh
seq_126	seq_126	spike_protein_s1	8cbd
seq_127	seq_127	spike_protein_s1	8cbe
seq_128	seq_128	spike_protein_s2'	8hp9
seq_129	seq_129	heme/hemoglobin_uptake_outer_membrane_receptor_phur	8the
seq_130	seq_130	envelope_glycoprotein_b	8kfa
seq_131	seq_70	spike_protein_s1	8xse
seq_131	seq_118	long_neurotoxin_2	8sxp
seq_131	seq_131	spike_protein_s1	7y3n
seq_131	seq_169	neuraminidase	8e6j
seq_131	seq_268	spike_glycoprotein	7u9p
seq_131	seq_457	neuraminidase	6pzz
seq_131	seq_465	clade_a/e_93th057_hiv-1_gp120_core	6mg7
seq_131	seq_475	hemagglutinin	6xpy
seq_131	seq_534	hemagglutinin_ha1_chain	6mlm
seq_132	seq_18	cytotoxic_t-lymphocyte_protein_4	9dq3
seq_132	seq_132	spike_protein_s1	8k5g
seq_132	seq_140	spike_glycoprotein	8bg8
seq_132	seq_158	spike_protein_s1	8gsb
seq_132	seq_171	cytotoxic_t-lymphocyte_protein_4	5xj3
seq_132	seq_211	spike_glycoprotein	7xj6
seq_132	seq_213	ciliary_neurotrophic_factor_receptor_subunit_alpha	8d7e
seq_132	seq_222	spike_protein_s1	7s5q
seq_132	seq_229	spike_protein_s1	7s5r
seq_132	seq_254	spike_glycoprotein	7x25
seq_132	seq_292	nucleoprotein	7str
seq_132	seq_297	spike_glycoprotein,envelope_glycoprotein	7qti
seq_132	seq_306	major_pollen_allergen_bet_v_1-a	7mxl
seq_132	seq_311	circumsporozoite_protein	6o2b
seq_132	seq_335	hemagglutinin	5ibl
seq_132	seq_402	spike_protein_s1	7x7o
seq_132	seq_408	spike_glycoprotein	7tcc
seq_132	seq_464	spike_glycoprotein	7beo
seq_132	seq_482	cytotoxic_t-lymphocyte_protein_4	7su0
seq_132	seq_487	spike_protein_s1	7qez
seq_132	seq_580	sars-cov-2_spike_glycoprotein	7lrt
seq_132	seq_582	spike_glycoprotein	7e3k
seq_132	seq_615	spike_glycoprotein	7ezv
seq_133	seq_133	ara_h_2_allergen	8g4p
seq_134	seq_134	spike_glycoprotein	7ycy
seq_135	seq_135	spike_protein_s2'	8hws
seq_138	seq_138	ba.4/5_variant_spike_protein	8ix3
seq_139	seq_139	spike_protein_s1	8bg2
seq_139	seq_616	spike_glycoprotein	7ezv
seq_142	seq_142	spike_protein_s2'	8pq2
seq_143	seq_143	spike_glycoprotein	8hgl
seq_144	seq_144	protein-glutamine_gamma-glutamyltransferase_e_27_kda_non-catalytic_chain_	8oxv
seq_145	seq_145	spike_protein_s1	8eqf
seq_147	seq_147	hemagglutinin	8tp6
seq_148	seq_148	hemagglutinin	8tp9
seq_149	seq_149	spike_glycoprotein	7ukm
seq_150	seq_150	programmed_cell_death_protein_1	8gy5
seq_152	seq_80	asialoglycoprotein_receptor_2	8urf
seq_152	seq_152	tumor_necrosis_factor_receptor_superfamily_member_1b,maltose/maltodextrin-binding_periplasmic_protein_	8hlb
seq_153	seq_153	tumor_necrosis_factor_receptor_superfamily_member_9	8gye
seq_153	seq_220	reverse_transcriptase_p51	6vug
seq_153	seq_290	bifunctional_hemolysin-adenylate_cyclase	7usl
seq_153	seq_525	programmed_cell_death_protein_1	6jjp
seq_155	seq_155	t-cell_immunoreceptor_with_ig_and_itim_domains	8szy
seq_156	seq_156	transforming_growth_factor_beta-1_proprotein	4kv5
seq_157	seq_157	plasma_kallikrein_light_chain	8fgx
seq_159	seq_159	spike_protein_s1	8gpy
seq_160	seq_160	disintegrin_and_metalloproteinase_domain-containing_protein10_	8gh4
seq_161	seq_161	spike_glycoprotein	8h7l
seq_162	seq_75	spike_protein_s2'	8c0y
seq_162	seq_162	spike_protein_s1	8gf2
seq_162	seq_271	envelope_glycoprotein_h	7s1b
seq_162	seq_305	interferon_alpha-2	4ypg
seq_162	seq_562	spike_glycoprotein	7chc
