seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	stem_mimetic_01	8uzp
seq_3	seq_3	spike_glycoprotein	8vpf
seq_4	seq_4	neuraminidase	9dpc
seq_4	seq_275	spike_glycoprotein	8gto
seq_4	seq_688	programmed_cell_death_1_ligand_1	5ggt
seq_4	seq_754	transmembrane_glycoprotein	2cmr
seq_4	seq_1093	hemagglutinin_ha1	4hfu
seq_4	seq_1117	hemagglutinin	5w42
seq_9	seq_9	gametocyte_surface_protein_p45/48	8u1p
seq_10	seq_10	enterotoxin_type_b	8ykt
seq_12	seq_12	hemagglutinin_ha1_chain	9azt
seq_14	seq_14	apical_membrane_antigen_1	9bjh
seq_15	seq_15	spike_glycoprotein	9cci
seq_16	seq_16	spike_glycoprotein	9bj2
seq_17	seq_17	spike_glycoprotein	9bj3
seq_17	seq_272	hcv_e2_ectodomain,_synzip2_scaffold_fusion	8fsj
seq_19	seq_19	vp1	8vkx
seq_19	seq_229	fp15	8fdo
seq_20	seq_20	major_allergen_can_f_1	8vqf
seq_33	seq_33	histone_chaperone_asf1	9avo
seq_33	seq_94	9mer_peptide,beta-2-microglobulin,mhc_class_i_antigenchimera_	8tnj
seq_33	seq_188	protein-arginine_deiminase_type-4	8smk
seq_33	seq_729	tudor_and_kh_domain-containing_protein	6pi7
seq_33	seq_969	histone_chaperone_asf1	5uek
seq_34	seq_34	beta-arrestin-1,soluble_cytochrome_b562	9dng
seq_37	seq_37	adp-ribosyl_cyclase/cyclic_adp-ribose_hydrolase_1	9gox
seq_38	seq_38	envelopment_polyprotein	8zhq
seq_39	seq_39	neuraminidase	8zr4
seq_43	seq_43	ara_h_2_allergen	8sj6
seq_44	seq_44	conglutin	8sja
seq_47	seq_47	ns1	8jkf
seq_48	seq_48	non-structural_protein_1	8jqn
seq_49	seq_49	butyrophilin_subfamily_2_member_a1	8vc7
seq_49	seq_965	phosphatidylcholine_translocator_abcb4	7niw
seq_51	seq_51	gp38	9b8j
seq_53	seq_53	ns1	8jkh
seq_59	seq_59	isoform_vegf121_of_vascular_endothelial_growth_factor_a,long_form_	8uwz
seq_60	seq_60	spike_glycoprotein	8wyj
seq_60	seq_442	spike_protein_s1	7y0w
seq_62	seq_62	hemagglutinin	9bdg
seq_62	seq_1047	coagulation_factor_ix	7ahv
seq_64	seq_64	hemagglutinin	8us0
seq_66	seq_66	spike_protein_s1	8s6m
seq_66	seq_68	spike_glycoprotein	9au2
seq_66	seq_182	spike_glycoprotein,fibritin	8r1d
seq_66	seq_987	spike_glycoprotein	7laa
seq_67	seq_67	isoform_1_of_cell_surface_glycoprotein_cd200_receptor_1	9gwt
seq_67	seq_81	interleukin-2	8sow
seq_67	seq_82	interleukin-2	8soz
seq_67	seq_572	s_protein	4zs6
seq_67	seq_786	major_capsid_protein	6n81
seq_69	seq_69	spike_protein_s1	8wpw
seq_71	seq_71	envelope_glycoprotein_e	8v5l
seq_72	seq_72	envelope_glycoprotein_e	8v5s
seq_73	seq_73	receptor_tyrosine-protein_kinase_erbb-2/higg1_fc_domainfusion_	8vqd
seq_77	seq_77	glutamate_receptor_ionotropic,_nmda_1	8vus
seq_78	seq_78	spike_glycoprotein	8y4a
seq_80	seq_80	pcrv	9jbq
seq_83	seq_83	envelope_glycoprotein_e2	8tzy
seq_86	seq_86	outer_surface_protein_a	8tv3
seq_87	seq_87	outer_surface_protein_a	8tvd
seq_88	seq_88	outer_surface_protein_a	8tvj
seq_92	seq_92	spike_glycoprotein	8keo
seq_93	seq_93	9mer_peptide,beta-2-microglobulin,mhc_class_i_antigenchimera_	8tnj
seq_93	seq_161	hyaluronan_synthase_1	8smm
seq_96	seq_96	spike_protein_s1	8sdh
seq_97	seq_8	gametocyte_surface_protein_p45/48	8u1p
seq_97	seq_36	cytotoxic_t-lymphocyte_protein_4	9dq5
seq_97	seq_74	ch848_de3_sosip_gp120	8vgv
seq_97	seq_76	envelope_glycoprotein_b	8vym
seq_97	seq_97	reticulocyte-binding_protein-like_protein_5	8qkr
seq_97	seq_112	pro-secreted_protein_orf2	8pmz
seq_97	seq_122	asialoglycoprotein_receptor_1	8ts0
seq_97	seq_128	spike_glycoprotein	8hlc
seq_97	seq_162	interleukin-17f	8ruu
seq_97	seq_170	bcl-2_homologous_antagonist/killer	8uky
seq_97	seq_190	neuraminidase	8gav
seq_97	seq_191	t-cell_immunoreceptor_with_ig_and_itim_domains	8jel
seq_97	seq_195	receptor_tyrosine-protein_kinase_erbb-2	8pwh
seq_97	seq_205	gremlin-1	8b7h
seq_97	seq_246	disintegrin_and_metalloproteinase_domain-containing_protein10_	8gh4
seq_97	seq_255	envelope_glycoprotein_b	7yrn
seq_97	seq_293	duffy_binding_protein	8a44
seq_97	seq_294	interleukin-13,_human	8blq
seq_97	seq_326	spike_protein_s1	7wn2
seq_97	seq_330	ch848.10.17_gp120	8sas
seq_97	seq_333	envelope_glycoprotein_gp160	8saz
seq_97	seq_334	ch848.10.17.sosip_gp120	8sb0
seq_97	seq_335	ch848.10.17_gp120	8sb1
seq_97	seq_336	ch848.10.17.sosip_gp120	8sb2
seq_97	seq_337	ch848.10.17_gp120	8sb3
seq_97	seq_338	ch848.10.17_gp120	8sb4
seq_97	seq_339	ch848.10.17.sosip_gp120	8sb5
seq_97	seq_343	adp-ribosyl_cyclase/cyclic_adp-ribose_hydrolase_1	8il3
seq_97	seq_358	glypican-2	6wjl
seq_97	seq_390	spike_protein_s1	7ycl
seq_97	seq_407	core_protein	7wur
seq_97	seq_434	surface_glycoprotein	7wb5
seq_97	seq_465	gametocyte_surface_protein_p45/48	7unb
seq_97	seq_493	envelope_glycoprotein_h	7t4r
seq_97	seq_496	tumor_necrosis_factor_receptor_superfamily_member_10b	3x3f
seq_97	seq_498	tumor_necrosis_factor_receptor_superfamily_member_4	6okm
seq_97	seq_502	glycoprotein_41	6cde
seq_97	seq_503	toll-like_receptor_3	3ulu
seq_97	seq_506	spike_protein_s1	7te1
seq_97	seq_551	arginase-1	7lex
seq_97	seq_554	envelope_glycoprotein_gp120	6um7
seq_97	seq_583	spike_glycoprotein	7e5s
seq_97	seq_606	hepatocyte_growth_factor_receptor	5lsp
seq_97	seq_618	tumor_necrosis_factor_receptor_superfamily_member_5	6pe9
seq_97	seq_623	arginase-1	7lf2
seq_97	seq_624	glycoprotein_gp41	6cdi
seq_97	seq_653	adiponectin_receptor_protein_2	6yxd
seq_97	seq_659	disintegrin_and_metalloproteinase_domain-containing_protein10_	5l0q
