seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	b-lymphocyte_antigen_cd20	8vgn
seq_2	seq_2	pcrv	9jbq
seq_4	seq_4	gametocyte_surface_protein_p230	7uvq
seq_4	seq_9	tumor_necrosis_factor_receptor_superfamily_member_10b	6t3j
seq_4	seq_11	natural_cytotoxicity_triggering_receptor_3_ligand_1	4zso
seq_5	seq_5	serine_protease_htra1	7sjn
seq_6	seq_6	h(+)/cl(-)_exchange_transporter_clca	2fed
seq_7	seq_3	sialic_acid-binding_ig-like_lectin_8	7quh
seq_7	seq_7	interleukin-2_receptor_subunit_alpha	3nfp
seq_10	seq_10	de_novo_designed_protein_4h_01	6ywd
seq_12	seq_12	processed_angiotensin-converting_enzyme_2	7e7e
seq_13	seq_13	clade_a/e_93th057_hiv-1_gp120_core	4jb9
seq_14	seq_8	hiv-1_clade_a_q842.d12_gp120	4rx4
seq_14	seq_14	hiv-1_yu2_gp120	4rwy
