seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	spike_protein_s1	9l6c
seq_1	seq_52	envelope_glycoprotein_e2	6uyg
seq_1	seq_65	envelope_glycoprotein_d	3w9e
seq_3	seq_3	envelope_glycoprotein_e	8v5q
seq_4	seq_4	hemagglutinin-neuraminidase	9b2w
seq_4	seq_20	spike_protein_s1	8bg1
seq_4	seq_74	spike_protein	6c6z
seq_4	seq_77	er_membrane_protein_complex_subunit_1	7kra
seq_5	seq_5	spike_glycoprotein	8wyj
seq_6	seq_6	spike_glycoprotein	8wyj
seq_7	seq_7	envelope_glycoprotein_e2	8tzy
seq_8	seq_8	outer_surface_protein_a	8tv3
seq_9	seq_9	spike_glycoprotein	8yww
seq_10	seq_10	ephrin_type-a_receptor_2	8tv1
seq_11	seq_11	reticulocyte-binding_protein_homolog_5	8pwv
seq_12	seq_12	spike_protein	8r9w
seq_13	seq_13	spike_protein_s1	8x0y
seq_15	seq_15	tumor_necrosis_factor_receptor_superfamily_member_5	8yx1
seq_16	seq_16	bcl-2_homologous_antagonist/killer	8uky
seq_17	seq_14	spike_protein_s1	8suo
seq_17	seq_17	spike_protein_s2'	8ekd
seq_18	seq_18	envelope_glycoprotein_gp160	8sxj
seq_18	seq_49	clade_a/e_93th057_hiv-1_gp120_core	5f9w
seq_19	seq_19	gremlin-1	8b7h
seq_21	seq_21	guanylyl_cyclase_c	8ghp
seq_22	seq_22	spike_glycoprotein	8gnh
seq_22	seq_45	programmed_cell_death_1_ligand_1	5ggt
seq_22	seq_76	spike_protein_s1	7mzl
seq_23	seq_23	fusion_glycoprotein_f0	8eay
seq_23	seq_73	vp2_of_b19_parvovirus	6nn3
seq_24	seq_24	hemagglutinin	7tri
seq_25	seq_25	circumsporozoite_protein	8dz3
seq_26	seq_26	circumsporozoite_protein	8dz4
seq_27	seq_27	spike_glycoprotein	7y6l
seq_28	seq_28	spike_protein_s1	7xs8
seq_29	seq_29	spike_glycoprotein	8bbo
seq_30	seq_30	spike_protein_s1	7ul1
seq_30	seq_33	mhc_class_i_chain-related_protein_a	7s7i
seq_31	seq_31	lysosome-associated_membrane_glycoprotein_1	8ath
seq_31	seq_62	integrin_alpha4_subunit	4irz
seq_32	seq_32	spike_protein_s1	8dxt
seq_34	seq_34	spike_protein_s1	7t7b
seq_35	seq_35	spike_protein_s1	7jmo
seq_36	seq_36	hemagglutinin_ha1	5w08
seq_37	seq_37	integrin_alpha-l	3hi6
seq_38	seq_38	spike_glycoprotein	7f3q
seq_39	seq_39	hiv-1_clade_ae_gp120_core	6bf4
seq_40	seq_40	spike_protein_s1	7nx7
seq_41	seq_41	s_protein	4zs6
seq_42	seq_42	m48u1_peptide	4r4n
seq_43	seq_43	gna2132	5o1r
seq_44	seq_44	plasma_kallikrein	4ogx
seq_46	seq_46	glycoprotein_g	6cmg
seq_47	seq_47	hiv-1_gp120_envelope_glycoprotein	3jwo
seq_48	seq_2	protein-glutamine_gamma-glutamyltransferase_e	8rmx
seq_48	seq_48	frizzled-7	6o3a
seq_50	seq_50	alpha-hemolysin	4u6v
seq_51	seq_51	spike_glycoprotein	7ljr
seq_53	seq_53	der_p_2_variant_3	7mlh
seq_54	seq_54	envelope_glycoprotein_gp160	5t3z
seq_55	seq_55	hepatitis_a_virus_cellular_receptor_2	6txz
seq_56	seq_56	tetanus_toxin	7ce2
seq_57	seq_57	zika_virus_envelope_protein_diii	5vig
seq_58	seq_58	hemagglutinin	6iuv
seq_59	seq_59	spike_protein_s1	7chs
seq_60	seq_60	proprotein_convertase_subtilisin/kexin_type_9	2xtj
seq_61	seq_61	25_kda_ookinete_surface_antigen	6phc
seq_63	seq_63	spike_protein_s1	7djz
seq_63	seq_67	clade_a/e_93th057_hiv-1_gp120_core	5f9o
seq_64	seq_64	surface_glycoprotein	7ps1
seq_64	seq_78	spike_glycoprotein	7n62
seq_66	seq_66	spike_protein_s1	7vmu
seq_68	seq_68	envelope_glycoprotein_l	7m30
seq_69	seq_69	spike_glycoprotein	7nd3
seq_70	seq_70	polyprotein	6bkd
seq_71	seq_71	frizzled-5	6o39
seq_72	seq_72	clade_a/e_93th057_hiv-1_gp120_core	6oej
seq_75	seq_75	hemagglutinin	5w42
seq_79	seq_79	interleukin-13	4ps4
