pdb,cluster
7kfb,SEQ_H1_10_1
7kfb,SEQ_H1_10_1
7kfb,SEQ_H1_10_1
7m8l,SEQ_H1_10_1
7m8l,SEQ_H1_10_1
7m8l,SEQ_H1_10_1
4ydj,SEQ_H1_12_1
4ydj,SEQ_H1_12_1
5umn,SEQ_H1_12_1
5umn,SEQ_H1_12_1
6ml8,SEQ_H1_12_1
6d0u,SEQ_H1_12_1
6d0u,SEQ_H1_12_1
6d0u,SEQ_H1_12_1
6d0u,SEQ_H1_12_1
4fp8,SEQ_H1_12_1
4fp8,SEQ_H1_12_1
4fp8,SEQ_H1_12_1
4fp8,SEQ_H1_12_1
6jep,SEQ_H1_13_1
6jep,SEQ_H1_13_1
6udj,SEQ_H1_13_1
6udj,SEQ_H1_13_1
6udj,SEQ_H1_13_1
6udk,SEQ_H1_13_1
6udk,SEQ_H1_13_1
6udk,SEQ_H1_13_1
4jm2,SEQ_H1_14_1
4nzr,SEQ_H1_14_1
4lsq,SEQ_H1_16_1
4lsr,SEQ_H1_16_1
6nnj,SEQ_H1_16_1
4lsp,SEQ_H1_16_1
7lq7,SEQ_H1_4_1
7lq7,SEQ_H1_4_1
8i3s,SEQ_H1_4_1
7lq7,SEQ_H1_4_1
8h08,SEQ_H1_5_1
8h08,SEQ_H1_5_1
8h08,SEQ_H1_5_1
8h07,SEQ_H1_5_1
8h07,SEQ_H1_5_1
8h07,SEQ_H1_5_1
7xd2,SEQ_H1_5_1
7xd2,SEQ_H1_5_1
7xd2,SEQ_H1_5_1
7rfb,SEQ_H1_5_1
7rfb,SEQ_H1_5_1
6uyf,SEQ_H1_6_1
6bkc,SEQ_H1_6_1
4o58,SEQ_H1_6_2
8sml,SEQ_H1_6_3
8sml,SEQ_H1_6_3
7byr,SEQ_H1_7_1
7ps6,SEQ_H1_7_1
5otj,SEQ_H1_7_1
6xkr,SEQ_H1_7_1
3sqo,SEQ_H1_7_1
7vyt,SEQ_H1_7_1
6b0g,SEQ_H1_7_1
4hcr,SEQ_H1_7_1
6wmw,SEQ_H1_7_1
7rw2,SEQ_H1_7_1
7k9z,SEQ_H1_7_1
4zso,SEQ_H1_7_1
4mxw,SEQ_H1_7_1
6wvz,SEQ_H1_7_1
3hmx,SEQ_H1_7_1
7czy,SEQ_H1_7_1
7seg,SEQ_H1_7_1
7m6g,SEQ_H1_7_1
7m6h,SEQ_H1_7_1
3nfp,SEQ_H1_7_1
7k8w,SEQ_H1_7_1
5mvz,SEQ_H1_7_1
6rcv,SEQ_H1_7_1
7mzk,SEQ_H1_7_1
7mw3,SEQ_H1_7_1
6vmj,SEQ_H1_7_1
4ypg,SEQ_H1_7_1
8eb2,SEQ_H1_7_1
7df1,SEQ_H1_7_1
7wn8,SEQ_H1_7_1
7ubs,SEQ_H1_7_1
7s5q,SEQ_H1_7_1
8csj,SEQ_H1_7_1
7zoz,SEQ_H1_7_1
7yix,SEQ_H1_7_1
8u4q,SEQ_H1_7_1
8tr3,SEQ_H1_7_1
8rz0,SEQ_H1_7_1
8vgn,SEQ_H1_7_1
9dh2,SEQ_H1_7_1
8y3i,SEQ_H1_7_1
8znz,SEQ_H1_7_1
8w0w,SEQ_H1_7_1
3whe,SEQ_H1_7_1
6b9j,SEQ_H1_7_1
7phu,SEQ_H1_7_1
7lab,SEQ_H1_7_1
6wmw,SEQ_H1_7_1
6b08,SEQ_H1_7_1
5tzt,SEQ_H1_7_1
3t2n,SEQ_H1_7_1
5ugy,SEQ_H1_7_1
7lf2,SEQ_H1_7_1
5lsp,SEQ_H1_7_1
6um7,SEQ_H1_7_1
6cde,SEQ_H1_7_1
7wb5,SEQ_H1_7_1
8il3,SEQ_H1_7_1
8sb4,SEQ_H1_7_1
8sb3,SEQ_H1_7_1
8sb1,SEQ_H1_7_1
8sb0,SEQ_H1_7_1
8saz,SEQ_H1_7_1
8b7h,SEQ_H1_7_1
8qkr,SEQ_H1_7_1
8vym,SEQ_H1_7_1
8u1p,SEQ_H1_7_1
9dq5,SEQ_H1_7_1
5o4o,SEQ_H1_7_1
7k8x,SEQ_H1_7_1
5if0,SEQ_H1_7_1
6aod,SEQ_H1_7_1
7lop,SEQ_H1_7_1
6xey,SEQ_H1_7_1
7rdw,SEQ_H1_7_1
5fec,SEQ_H1_7_1
7l5b,SEQ_H1_7_1
