pdb	CDR	Cluster_Label
7y0v	SEQ_L3	1
7ps7	SEQ_L3	1
7uar	SEQ_L3	1
8rz1	SEQ_L3	1
8tea	SEQ_L3	1
8zgu	SEQ_L3	1
6vy4	SEQ_L3	1
6oao	SEQ_L3	1
7bel	SEQ_L3	1
4hj0	SEQ_L3	1
7xmz	SEQ_L3	1
8dfh	SEQ_L3	1
8sdh	SEQ_L3	1
4yjz	SEQ_L3	1
8yro	SEQ_L3	1
9bj2	SEQ_L3	1
8y3h	SEQ_L3	1
8dfi	SEQ_L3	1
7xw7	SEQ_L3	1
8uzp	SEQ_L3	1
7tat	SEQ_L3	1
7e3o	SEQ_L3	1
8zby	SEQ_L3	1
7dm2	SEQ_L3	1
7sts	SEQ_L3	1
8i5l	SEQ_L3	1
5yy5	SEQ_L3	1
7m6e	SEQ_L3	1
4v1d	SEQ_L3	1
8tgv	SEQ_L3	1
7e5y	SEQ_L3	1
2j6e	SEQ_L3	1
6umx	SEQ_L3	1
6xqw	SEQ_L3	1
7yve	SEQ_L3	1
7kn4	SEQ_L3	1
5cus	SEQ_L3	1
7mzh	SEQ_L3	1
8ezk	SEQ_L3	1
7ps4	SEQ_L3	1
8gto	SEQ_L3	1
5occ	SEQ_L3	1
7u9g	SEQ_L3	1
7mdp	SEQ_L3	1
2xqb	SEQ_L3	1
7lfa	SEQ_L3	1
4fqj	SEQ_L3	1
8k3c	SEQ_L3	1
7x95	SEQ_L3	1
8ez8	SEQ_L3	1
4y5x	SEQ_L3	1
8jmm	SEQ_L3	1
5mes	SEQ_L3	1
7u9e	SEQ_L3	1
6pzy	SEQ_L3	1
8z6r	SEQ_L3	1
8z6u	SEQ_L3	1
6wh9	SEQ_L3	1
8vkx	SEQ_L3	1
7jv4	SEQ_L3	1
8vym	SEQ_L3	1
7mzk	SEQ_L3	1
8sja	SEQ_L3	1
7kdd	SEQ_L3	1
4ot1	SEQ_L3	1
4yfl	SEQ_L3	1
7yh6	SEQ_L3	1
6aod	SEQ_L3	1
8tft	SEQ_L3	1
4r4n	SEQ_L3	1
6u0n	SEQ_L3	1
7sj0	SEQ_L3	1
7cws	SEQ_L3	1
7cm4	SEQ_L3	1
5jz7	SEQ_L3	1
7wrj	SEQ_L3	1
6pdx	SEQ_L3	1
7bpk	SEQ_L3	1
4khx	SEQ_L3	1
3ma9	SEQ_L3	1
3wsq	SEQ_L3	1
