PDB_ID	CDR	Length	Cluster_Label
7byr	SEQ_H1	7	1
7ps6	SEQ_H1	7	1
5otj	SEQ_H1	7	1
6xkr	SEQ_H1	7	1
3sqo	SEQ_H1	7	1
7vyt	SEQ_H1	7	1
6b0g	SEQ_H1	7	1
4hcr	SEQ_H1	7	1
6wmw	SEQ_H1	7	1
7rw2	SEQ_H1	7	1
7k9z	SEQ_H1	7	1
4zso	SEQ_H1	7	1
4mxw	SEQ_H1	7	1
6wvz	SEQ_H1	7	1
3hmx	SEQ_H1	7	1
7czy	SEQ_H1	7	1
7seg	SEQ_H1	7	1
7m6g	SEQ_H1	7	1
7m6h	SEQ_H1	7	1
3nfp	SEQ_H1	7	1
7k8w	SEQ_H1	7	1
5mvz	SEQ_H1	7	1
6rcv	SEQ_H1	7	1
7mzk	SEQ_H1	7	1
7mw3	SEQ_H1	7	1
6vmj	SEQ_H1	7	1
4ypg	SEQ_H1	7	1
8eb2	SEQ_H1	7	1
7df1	SEQ_H1	7	1
7wn8	SEQ_H1	7	1
7ubs	SEQ_H1	7	1
7s5q	SEQ_H1	7	1
8csj	SEQ_H1	7	1
7zoz	SEQ_H1	7	1
7yix	SEQ_H1	7	1
8u4q	SEQ_H1	7	1
8tr3	SEQ_H1	7	1
8rz0	SEQ_H1	7	1
8vgn	SEQ_H1	7	1
9dh2	SEQ_H1	7	1
8y3i	SEQ_H1	7	1
8znz	SEQ_H1	7	1
8w0w	SEQ_H1	7	1
3whe	SEQ_H1	7	1
6b9j	SEQ_H1	7	1
7phu	SEQ_H1	7	1
7lab	SEQ_H1	7	1
6wmw	SEQ_H1	7	1
6b08	SEQ_H1	7	1
5tzt	SEQ_H1	7	1
3t2n	SEQ_H1	7	1
5ugy	SEQ_H1	7	1
7lf2	SEQ_H1	7	1
5lsp	SEQ_H1	7	1
6um7	SEQ_H1	7	1
6cde	SEQ_H1	7	1
7wb5	SEQ_H1	7	1
8il3	SEQ_H1	7	1
8sb4	SEQ_H1	7	1
8sb3	SEQ_H1	7	1
8sb1	SEQ_H1	7	1
8sb0	SEQ_H1	7	1
8saz	SEQ_H1	7	1
8b7h	SEQ_H1	7	1
8qkr	SEQ_H1	7	1
8vym	SEQ_H1	7	1
8u1p	SEQ_H1	7	1
9dq5	SEQ_H1	7	1
