PDB_ID	CDR	Length	Cluster_Label
6ii9	SEQ_L1	14	1
7laa	SEQ_L1	14	1
5occ	SEQ_L1	14	1
5ush	SEQ_L1	14	1
7dx4	SEQ_L1	14	1
5anm	SEQ_L1	14	1
7m6h	SEQ_L1	14	1
7cho	SEQ_L1	14	1
7wp0	SEQ_L1	14	1
7tjq	SEQ_L1	14	1
8csj	SEQ_L1	14	1
7yh6	SEQ_L1	14	1
8f6x	SEQ_L1	14	1
8zho	SEQ_L1	14	1
8siq	SEQ_L1	14	1
8ahn	SEQ_L1	14	1
7m6f	SEQ_L1	14	1
3whe	SEQ_L1	14	1
6m3b	SEQ_L1	14	1
5otj	SEQ_L1	14	1
8hrd	SEQ_L1	14	1
8dzw	SEQ_L1	14	1
8y4c	SEQ_L1	14	1
8gdr	SEQ_L1	14	1
7wqv	SEQ_L1	14	1
4tsa	SEQ_L1	14	1
4ttd	SEQ_L1	14	1
4tsb	SEQ_L1	14	1
8rpb	SEQ_L1	14	2
8sas	SEQ_L1	14	2
8sau	SEQ_L1	14	2
8vgv	SEQ_L1	14	2
8sb5	SEQ_L1	14	2
6xkq	SEQ_L1	14	2
8gav	SEQ_L1	14	2
5w08	SEQ_L1	14	2
8dwy	SEQ_L1	14	2
3t2n	SEQ_L1	14	2
7lfa	SEQ_L1	14	2
4ut6	SEQ_L1	14	2
7ps0	SEQ_L1	14	2
8vkx	SEQ_L1	14	2
8cxi	SEQ_L1	14	2
8vpf	SEQ_L1	14	2
8dg9	SEQ_L1	14	2
7uvo	SEQ_L1	14	2
8qpr	SEQ_L1	14	2
8sb4	SEQ_L1	14	2
8bg3	SEQ_L1	14	3
7fcp	SEQ_L1	14	3
7l5b	SEQ_L1	14	3
8y3i	SEQ_L1	14	3
8hes	SEQ_L1	14	3
6wm9	SEQ_L1	14	3
6wno	SEQ_L1	14	3
7xsa	SEQ_L1	14	3
5w4l	SEQ_L1	14	3
5t3z	SEQ_L1	14	3
4dqo	SEQ_L1	14	3
4uu9	SEQ_L1	14	3
7x08	SEQ_L1	14	3
7wee	SEQ_L1	14	3
8cz8	SEQ_L1	14	3
7wos	SEQ_L1	14	3
8dv6	SEQ_L1	14	3
3u4e	SEQ_L1	14	3
7wi0	SEQ_L1	14	3
8z6r	SEQ_L1	14	3
7swp	SEQ_L1	14	3
8say	SEQ_L1	14	3
7ps6	SEQ_L1	14	3
7k8x	SEQ_L1	14	3
7e7y	SEQ_L1	14	3
7z0x	SEQ_L1	14	3
7jmp	SEQ_L1	14	3
7ul0	SEQ_L1	14	3
8cin	SEQ_L1	14	3
8r1c	SEQ_L1	14	3
9aug	SEQ_L1	14	3
9auh	SEQ_L1	14	3
7jv4	SEQ_L1	14	3
6wh9	SEQ_L1	14	3
7tcc	SEQ_L1	14	3
7ox1	SEQ_L1	14	3
6vca	SEQ_L1	14	3
7r8n	SEQ_L1	14	3
7l2d	SEQ_L1	14	3
7wph	SEQ_L1	14	3
7czw	SEQ_L1	14	3
6xey	SEQ_L1	14	3
3wlw	SEQ_L1	14	3
6txz	SEQ_L1	14	3
5grj	SEQ_L1	14	3
7l2c	SEQ_L1	14	3
7lcn	SEQ_L1	14	3
6ktr	SEQ_L1	14	3
6xkp	SEQ_L1	14	3
7czp	SEQ_L1	14	3
7l56	SEQ_L1	14	3
8dce	SEQ_L1	14	3
7nd7	SEQ_L1	14	3
6pzw	SEQ_L1	14	3
8dcc	SEQ_L1	14	3
7sue	SEQ_L1	14	3
7ugq	SEQ_L1	14	3
7x8w	SEQ_L1	14	3
8j1q	SEQ_L1	14	3
8e1p	SEQ_L1	14	3
7yvi	SEQ_L1	14	3
8gpy	SEQ_L1	14	3
8jg5	SEQ_L1	14	3
8qrf	SEQ_L1	14	3
8suo	SEQ_L1	14	3
8z4e	SEQ_L1	14	3
9clp	SEQ_L1	14	3
8tp7	SEQ_L1	14	3
4y5v	SEQ_L1	14	3
6wty	SEQ_L1	14	3
6dc3	SEQ_L1	14	3
7mf1	SEQ_L1	14	3
4rfo	SEQ_L1	14	3
6xcn	SEQ_L1	14	3
7k8w	SEQ_L1	14	3
8z6u	SEQ_L1	14	3
6lxj	SEQ_L1	14	3
8wfh	SEQ_L1	14	3
4y5y	SEQ_L1	14	3
7lss	SEQ_L1	14	3
8s6m	SEQ_L1	14	3
9au2	SEQ_L1	14	3
7yvk	SEQ_L1	14	3
7mmo	SEQ_L1	14	3
7ycy	SEQ_L1	14	3
8erq	SEQ_L1	14	3
7e7x	SEQ_L1	14	3
8el2	SEQ_L1	14	3
5nh3	SEQ_L1	14	3
8sb3	SEQ_L1	14	3
8sb1	SEQ_L1	14	3
8saz	SEQ_L1	14	3
8sb0	SEQ_L1	14	3
6um7	SEQ_L1	14	3
7m42	SEQ_L1	14	3
5cbe	SEQ_L1	14	3
5cba	SEQ_L1	14	3
7dm1	SEQ_L1	14	3
8qq0	SEQ_L1	14	3
8sb2	SEQ_L1	14	3
6iut	SEQ_L1	14	3
