seq0	seq260	hemagglutinin
seq0	seq408	spike glycoprotein
seq0	seq459	spike glycoprotein
seq0	seq464	spike glycoprotein
seq0	seq465	spike glycoprotein
seq0	seq471	spike glycoprotein
seq0	seq472	spike glycoprotein
seq0	seq501	spike glycoprotein
seq0	seq639	spike glycoprotein
seq0	seq641	spike glycoprotein
seq0	seq644	spike glycoprotein
seq0	seq646	spike glycoprotein
seq0	seq648	spike glycoprotein
seq0	seq650	spike glycoprotein
seq0	seq705	spike glycoprotein
seq0	seq784	spike protein s1
seq0	seq785	spike protein s1
seq0	seq902	spike protein s1
seq0	seq1192	spike glycoprotein
seq0	seq1933	spike glycoprotein
seq0	seq1934	spike glycoprotein
seq0	seq1935	spike glycoprotein
seq0	seq1936	spike glycoprotein
seq0	seq1937	spike glycoprotein
seq0	seq1938	spike glycoprotein
seq0	seq1939	spike glycoprotein
seq0	seq2071	spike glycoprotein
seq0	seq2532	spike glycoprotein
seq0	seq2533	spike glycoprotein
seq0	seq2534	spike glycoprotein
seq0	seq2656	spike glycoprotein
seq0	seq2657	spike glycoprotein
seq0	seq2658	spike glycoprotein
seq0	seq2870	spike glycoprotein
seq0	seq2872	spike glycoprotein
seq0	seq3002	spike glycoprotein
seq0	seq3003	spike glycoprotein
seq0	seq3004	spike glycoprotein
seq0	seq3269	spike glycoprotein
seq0	seq3270	spike glycoprotein
seq0	seq3271	spike glycoprotein
seq0	seq3999	surface glycoprotein
seq0	seq4002	surface glycoprotein
seq0	seq4741	spike protein s1
seq0	seq4742	spike protein s1
seq0	seq4943	spike protein s1
seq0	seq5289	spike glycoprotein
seq0	seq5386	spike protein s1
seq14	seq14	hemagglutinin
seq15	seq15	hemagglutinin
seq16	seq16	hemagglutinin
seq20	seq20	neuraminidase
seq25	seq25	spike protein s1
seq35	seq35	spike protein s1
seq35	seq36	spike glycoprotein
seq35	seq37	spike glycoprotein
seq35	seq38	spike glycoprotein
seq46	seq46	spike glycoprotein
seq52	seq52	spike glycoprotein
seq53	seq53	spike glycoprotein
seq53	seq54	spike glycoprotein
seq53	seq55	spike glycoprotein
seq107	seq107	neuraminidase
seq107	seq3827	neuraminidase
seq107	seq3828	neuraminidase
seq107	seq3829	neuraminidase
seq107	seq3830	neuraminidase
seq107	seq3921	neuraminidase
seq107	seq3922	neuraminidase
seq107	seq4863	neuraminidase
seq132	seq132	spike glycoprotein
seq132	seq133	spike glycoprotein
seq132	seq134	spike glycoprotein
seq132	seq235	spike protein s1
seq132	seq236	spike protein s1
seq132	seq237	spike protein s1
seq132	seq238	spike protein s1
seq132	seq239	spike protein s1
seq132	seq240	spike protein s1
seq146	seq146	hemagglutinin | hemagglutinin
seq163	seq163	neuraminidase
seq163	seq164	neuraminidase
seq163	seq165	neuraminidase
seq163	seq166	neuraminidase
seq192	seq191	hemagglutinin
seq192	seq192	hemagglutinin
seq192	seq193	hemagglutinin
seq192	seq1198	spike protein s1
seq192	seq1200	spike protein s1
seq192	seq1248	spike protein s1
seq192	seq1553	spike glycoprotein
seq192	seq1554	spike glycoprotein
seq192	seq1559	spike protein s1
seq192	seq1560	spike protein s1
seq192	seq1899	spike glycoprotein
seq192	seq2017	spike protein s1
seq192	seq2019	spike protein s1
seq192	seq2710	spike protein s1
seq192	seq2713	spike protein s1
seq192	seq2715	spike glycoprotein
seq192	seq2716	spike glycoprotein
